epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,5262.51,0.60893,0.81303,0.97256,0.97988,1,0.995,0.82306,0.77091,0.7424,0.93258,0.000279063,0.000279063,0.000279063
37,5408.48,0.56385,0.76977,0.94108,0.97394,1,0.995,0.82648,0.78822,0.774,0.94661,0.000261065,0.000261065,0.000261065
38,5552.99,0.55982,0.77975,0.94277,0.9719,1,0.995,0.82424,0.78167,0.74413,0.94597,0.000243067,0.000243067,0.000243067
39,5698.68,0.54397,0.72744,0.93,0.97368,1,0.995,0.82967,0.79699,0.7279,0.93982,0.000225068,0.000225068,0.000225068
40,5844.23,0.5107,0.72323,0.93166,0.97599,1,0.995,0.823,0.83179,0.74264,0.94838,0.00020707,0.00020707,0.00020707
41,5988.74,0.44546,0.90682,0.87633,0.97691,1,0.995,0.82754,0.82928,0.74799,0.95018,0.000189072,0.000189072,0.000189072
42,6134.33,0.44618,0.93949,0.85603,0.97951,1,0.995,0.81996,0.82556,0.76669,0.94676,0.000171074,0.000171074,0.000171074
43,6278.81,0.41179,0.87301,0.84019,0.9607,1,0.995,0.81532,0.82761,0.76518,0.94727,0.000153076,0.000153076,0.000153076
44,6431.78,0.38308,0.83135,0.83616,0.97191,1,0.995,0.80316,0.84749,0.73085,0.95734,0.000135077,0.000135077,0.000135077
45,6577.59,0.37497,0.80847,0.83992,0.97609,1,0.995,0.82489,0.82328,0.71471,0.94956,0.000117079,0.000117079,0.000117079
46,6722.52,0.37938,0.80518,0.8303,0.9765,1,0.995,0.81851,0.78257,0.69581,0.94003,9.9081e-05,9.9081e-05,9.9081e-05
47,6868.4,0.37109,0.80419,0.80718,0.97827,1,0.995,0.81779,0.77996,0.68559,0.93717,8.10828e-05,8.10828e-05,8.10828e-05
48,7011.43,0.37369,0.78581,0.84608,0.97991,1,0.995,0.81701,0.79975,0.68482,0.94102,6.30846e-05,6.30846e-05,6.30846e-05
49,7154.14,0.34029,0.76495,0.81573,0.97988,1,0.995,0.80936,0.80108,0.68386,0.94014,4.50864e-05,4.50864e-05,4.50864e-05
50,7297.87,0.3481,0.78176,0.80825,0.9804,1,0.995,0.81497,0.79948,0.68195,0.93948,2.70882e-05,2.70882e-05,2.70882e-05
